source_index,image_path,clean_hypothesis,adversarial_hypothesis,attack_mode,anchor_token_or_rule,expected_label
11963,./images_folder/flickr30k-images/3560502528.jpg,A bunch of men are standing around bicycles on the platform.,A bunch of men are not standing around bicycles on the platform.,negation,are,contradiction
12157,./images_folder/flickr30k-images/575853856.jpg,The man is playing an instrument.,The man is not playing an instrument.,negation,is,contradiction
1225,./images_folder/flickr30k-images/16396205.jpg,Three men stand behind a barbecue.,It is not true that Three men stand behind a barbecue.,negation,prefix_negation,contradiction
965,./images_folder/flickr30k-images/11551286.jpg,A dark haired boy is angry.,A dark haired boy is not angry.,negation,is,contradiction
4677,./images_folder/flickr30k-images/3320411267.jpg,A man is outdoors.,A male person is outdoors.,paraphrase,\bA man\b,entailment
4668,./images_folder/flickr30k-images/3320411267.jpg,The person is in the vicinity of trees.,The person is not in the vicinity of trees.,negation,is,contradiction
11086,./images_folder/flickr30k-images/4062259729.jpg,a man on a boat,It is not true that a man on a boat,negation,prefix_negation,contradiction
531,./images_folder/flickr30k-images/4005756399.jpg,A street vendor is working.,A street vendor is not working.,negation,is,contradiction
11686,./images_folder/flickr30k-images/1387014885.jpg,People are talking to each other.,People are not talking to each other.,negation,are,contradiction
17055,./images_folder/flickr30k-images/4494075018.jpg,Man in shawl prays by the small boat and large lake.,"In this image, man in shawl prays by the small boat and large lake.",paraphrase,prefix,entailment
1727,./images_folder/flickr30k-images/4692725862.jpg,Children swimming.,It is not true that Children swimming.,negation,prefix_negation,contradiction
9453,./images_folder/flickr30k-images/509987636.jpg,A man wearing a white hat is close to photos.,A man wearing a black hat is close to photos.,color_swap,white,contradiction
13980,./images_folder/flickr30k-images/1505686764.jpg,a man stands outside,a girl stands outside,object_substitution,man,contradiction
14800,./images_folder/flickr30k-images/2797188545.jpg,The river is rough,The river is not rough,negation,is,contradiction
3000,./images_folder/flickr30k-images/7990849887.jpg,A group of people on the stage.,"In this image, a group of people on the stage.",paraphrase,prefix,entailment
95,./images_folder/flickr30k-images/92679312.jpg,Two people are holding electronics equipment.,Two people are not holding electronics equipment.,negation,are,contradiction
6428,./images_folder/flickr30k-images/118939364.jpg,A woman works on a piece of clothing.,It is not true that A woman works on a piece of clothing.,negation,prefix_negation,contradiction
16507,./images_folder/flickr30k-images/172097783.jpg,Someone is wearing a red life jacket.,Someone is not wearing a red life jacket.,negation,is,contradiction
6801,./images_folder/flickr30k-images/129662899.jpg,A man carries a spindle,It is not true that A man carries a spindle,negation,prefix_negation,contradiction
4661,./images_folder/flickr30k-images/3559693175.jpg,the people are browsing the store,"In this image, the people are browsing the store",paraphrase,prefix,entailment
3674,./images_folder/flickr30k-images/2842439618.jpg,the surfers are on the water,the surfers are not on the water,negation,are,contradiction
3266,./images_folder/flickr30k-images/20702864.jpg,City workers are working outside.,City workers are not working outside.,negation,are,contradiction
4046,./images_folder/flickr30k-images/151215569.jpg,A young child is outside with a man.,A young child is outside with a girl.,object_substitution,man,contradiction
6555,./images_folder/flickr30k-images/3819214047.jpg,There are 2 guys sitting on a skateboard.,There are not 2 guys sitting on a skateboard.,negation,are,contradiction
981,./images_folder/flickr30k-images/214166720.jpg,A man has a stuffed toy.,A male person has a stuffed toy.,paraphrase,\bA man\b,entailment
8468,./images_folder/flickr30k-images/305979887.jpg,a individual on a table holds a water near a stroller,It is not true that a individual on a table holds a water near a stroller,negation,prefix_negation,contradiction
4930,./images_folder/flickr30k-images/253924161.jpg,A human sitting,It is not true that A human sitting,negation,prefix_negation,contradiction
1519,./images_folder/flickr30k-images/4623878206.jpg,A woman with a backpack is walking across the street.,A boy with a backpack is walking across the street.,object_substitution,woman,contradiction
6797,./images_folder/flickr30k-images/129662899.jpg,The man is near rope.,The man is not near rope.,negation,is,contradiction
6080,./images_folder/flickr30k-images/128395402.jpg,A woman has a bike.,A female person has a bike.,paraphrase,\bA woman\b,entailment
16716,./images_folder/flickr30k-images/1157215900.jpg,A woman is interested in bread.,A woman is not interested in bread.,negation,is,contradiction
10354,./images_folder/flickr30k-images/4567003374.jpg,A man is playing an instrument.,A man is not playing an instrument.,negation,is,contradiction
5576,./images_folder/flickr30k-images/4791513183.jpg,There is a girl waiting by the door.,There is a boy waiting by the door.,object_substitution,girl,contradiction
3784,./images_folder/flickr30k-images/6848277313.jpg,A man is with a projector screen.,A man is not with a projector screen.,negation,is,contradiction
12320,./images_folder/flickr30k-images/3525978606.jpg,A woman cleaning an object.,A female person cleaning an object.,paraphrase,\bA woman\b,entailment
239,./images_folder/flickr30k-images/1246863003.jpg,Three chefs are at work.,Three chefs are not at work.,negation,are,contradiction
12040,./images_folder/flickr30k-images/6839984356.jpg,a young asian is sitting.,a young asian is not sitting.,negation,is,contradiction
11810,./images_folder/flickr30k-images/3125628091.jpg,Someone is smiling.,Someone is not smiling.,negation,is,contradiction
10295,./images_folder/flickr30k-images/3169184260.jpg,The young boy is holding a toy.,The young boy is not holding a toy.,negation,is,contradiction
3558,./images_folder/flickr30k-images/1554713437.jpg,a dogs walks on a downed tree,"In this image, a dogs walks on a downed tree",paraphrase,prefix,entailment
933,./images_folder/flickr30k-images/3134341610.jpg,Two people walking around,It is not true that Two people walking around,negation,prefix_negation,contradiction
983,./images_folder/flickr30k-images/214166720.jpg,A man is sitting.,A man is not sitting.,negation,is,contradiction
9293,./images_folder/flickr30k-images/3308171165.jpg,A girl is holding on to her necklace.,A man is holding on to her necklace.,object_substitution,girl,contradiction
7513,./images_folder/flickr30k-images/1260816604.jpg,A person is in a moving car.,A person is not in a moving car.,negation,is,contradiction
466,./images_folder/flickr30k-images/1313961775.jpg,A little girl in water.,"In this image, a little girl in water.",paraphrase,prefix,entailment
464,./images_folder/flickr30k-images/1313961775.jpg,Little girl floating in water,It is not true that Little girl floating in water,negation,prefix_negation,contradiction
3122,./images_folder/flickr30k-images/4459033855.jpg,A man makes a presentation.,It is not true that A man makes a presentation.,negation,prefix_negation,contradiction
7302,./images_folder/flickr30k-images/2540884723.jpg,The couple is sitting.,The couple is not sitting.,negation,is,contradiction
14597,./images_folder/flickr30k-images/2202059975.jpg,Two person is looking at an art piece.,Two person is not looking at an art piece.,negation,is,contradiction
14992,./images_folder/flickr30k-images/2841909138.jpg,A women sat outside.,"In this image, a women sat outside.",paraphrase,prefix,entailment
4183,./images_folder/flickr30k-images/28041138.jpg,A man is wearing a cotton gray tank top.,A man is not wearing a cotton gray tank top.,negation,is,contradiction
10705,./images_folder/flickr30k-images/5892931627.jpg,A person is playing baseball.,A person is not playing baseball.,negation,is,contradiction
12231,./images_folder/flickr30k-images/6925158300.jpg,A bunch of men using computers.,It is not true that A bunch of men using computers.,negation,prefix_negation,contradiction
4479,./images_folder/flickr30k-images/7746984692.jpg,A hiker is walking.,A hiker is not walking.,negation,is,contradiction
15887,./images_folder/flickr30k-images/6987411804.jpg,Cheerleaders perform.,"In this image, cheerleaders perform.",paraphrase,prefix,entailment
14542,./images_folder/flickr30k-images/4803926618.jpg,A drummer is playing the drums.,A drummer is not playing the drums.,negation,is,contradiction
13727,./images_folder/flickr30k-images/281658181.jpg,A female athlete is vaulting.,A female athlete is not vaulting.,negation,is,contradiction
14566,./images_folder/flickr30k-images/2515822745.jpg,The two people speak into the same microphone.,It is not true that The two people speak into the same microphone.,negation,prefix_negation,contradiction
14346,./images_folder/flickr30k-images/2980901328.jpg,A repairman works outside.,It is not true that A repairman works outside.,negation,prefix_negation,contradiction
4984,./images_folder/flickr30k-images/2532047708.jpg,Two men play a banjo and violin.,"In this image, two men play a banjo and violin.",paraphrase,prefix,entailment
